"Empresa";"Data";"Tipo Movimento";"Qtde Requisições";"Total Desconto";"Total Venda";
"2006";"15/02/2013 (Sexta-feira)";"Saída por Venda Balcão";"0005";"19,43";"244,90";
"2006";"16/02/2013 (Sábado)";"Saída para Oficina";"0002";"0,00";"468,47";
"2006";"16/02/2013 (Sábado)";"Saída por Brinde - Almoxarifado";"0001";"0,00";"4,79";
"2006";"16/02/2013 (Sábado)";"Saída por Venda Balcão";"0006";"69,95";"834,88";
"2006";"18/02/2013 (Segunda-feira)";"Saída para Oficina";"0002";"0,00";"31,90";
"2006";"18/02/2013 (Segunda-feira)";"Saída por Venda Balcão";"0005";"84,83";"318,26";
"2006";"19/02/2013 (Terça-feira)";"Saída para Oficina";"0002";"0,00";"107,90";
"2006";"19/02/2013 (Terça-feira)";"Saída por Venda Balcão";"0003";"55,33";"68,85";
"2006";"20/02/2013 (Quarta-feira)";"Saída para Oficina";"0001";"41,18";"96,10";
"2006";"20/02/2013 (Quarta-feira)";"Saída por Venda Balcão";"0007";"145,98";"470,63";
"2006";"21/02/2013 (Quinta-feira)";"Saída para Oficina";"0002";"5,00";"198,95";
"2006";"21/02/2013 (Quinta-feira)";"Saída por Venda Balcão";"0006";"26,54";"698,67";
"2006";"22/02/2013 (Sexta-feira)";"Saída para Oficina";"0002";"0,00";"127,03";
"2006";"22/02/2013 (Sexta-feira)";"Saída por Venda Balcão";"0001";"0,56";"172,00";
"2006";"23/02/2013 (Sábado)";"Saída para Oficina";"0005";"31,58";"523,51";
"2006";"23/02/2013 (Sábado)";"Saída por Venda Balcão";"0001";"0,00";"116,69";
"2006";"25/02/2013 (Segunda-feira)";"Saída por Venda Balcão";"0003";"23,84";"840,00";
"2006";"26/02/2013 (Terça-feira)";"Saída por Venda Atacado";"0001";"0,00";"8,91";
"2006";"26/02/2013 (Terça-feira)";"Saída por Venda Balcão";"0001";"0,00";"258,00";
"2006";"27/02/2013 (Quarta-feira)";"Saída para Oficina";"0002";"2,14";"181,39";
"2006";"27/02/2013 (Quarta-feira)";"Saída por Venda Balcão";"0003";"12,53";"197,00";
"2006";"28/02/2013 (Quinta-feira)";"Saída para Oficina";"0006";"86,64";"1.407,28";
"2006";"28/02/2013 (Quinta-feira)";"Saída por Venda Balcão";"0002";"0,87";"30,00";
"2006";"01/03/2013 (Sexta-feira)";"Saída para Oficina";"0004";"96,52";"1.033,15";
"2006";"01/03/2013 (Sexta-feira)";"Saída por Venda Balcão";"0011";"274,70";"1.331,13";
"2006";"02/03/2013 (Sábado)";"Saída para Oficina";"0002";"68,78";"628,94";
"2006";"02/03/2013 (Sábado)";"Saída por Venda Balcão";"0002";"0,06";"93,80";
"2006";"04/03/2013 (Segunda-feira)";"Saída para Oficina";"0007";"175,88";"2.522,19";
"2006";"04/03/2013 (Segunda-feira)";"Saída por Venda Balcão";"0004";"4,50";"223,20";
"2006";"05/03/2013 (Terça-feira)";"Saída para Oficina";"0006";"0,00";"876,94";
"2006";"05/03/2013 (Terça-feira)";"Saída para Uso Firma";"0001";"0,00";"10,45";
"2006";"05/03/2013 (Terça-feira)";"Saída por Venda Balcão";"0005";"27,05";"408,50";
"2006";"06/03/2013 (Quarta-feira)";"Saída para Oficina";"0001";"0,00";"28,90";
"2006";"06/03/2013 (Quarta-feira)";"Saída por Venda Balcão";"0006";"10,23";"267,72";
"2006";"07/03/2013 (Quinta-feira)";"Saída para Oficina";"0004";"0,00";"276,73";
"2006";"07/03/2013 (Quinta-feira)";"Saída por Venda Balcão";"0007";"24,11";"371,79";
"2006";"08/03/2013 (Sexta-feira)";"Saída para Oficina";"0002";"0,00";"153,38";
"2006";"08/03/2013 (Sexta-feira)";"Saída por Venda Balcão";"0004";"3,57";"84,43";
"2006";"09/03/2013 (Sábado)";"Saída para Oficina";"0001";"3,89";"88,99";
"2006";"09/03/2013 (Sábado)";"Saída por Venda Balcão";"0005";"50,87";"453,14";
"2006";"11/03/2013 (Segunda-feira)";"Saída por Venda Balcão";"0006";"75,52";"761,82";
"2006";"12/03/2013 (Terça-feira)";"Saída para Oficina";"0002";"0,00";"482,90";
"2006";"12/03/2013 (Terça-feira)";"Saída por Venda Balcão";"0004";"78,06";"514,74";
"2006";"13/03/2013 (Quarta-feira)";"Saída para Oficina";"0004";"177,26";"1.736,43";
"2006";"13/03/2013 (Quarta-feira)";"Saída por Venda Balcão";"0005";"65,43";"416,32";
"2006";"14/03/2013 (Quinta-feira)";"Saída para Oficina";"0004";"178,21";"1.985,65";
"2006";"14/03/2013 (Quinta-feira)";"Saída por Venda Balcão";"0004";"0,00";"776,90";
"2006";"15/03/2013 (Sexta-feira)";"Saída para Oficina";"0002";"0,95";"135,00";
"2006";"15/03/2013 (Sexta-feira)";"Saída por Venda Balcão";"0002";"0,00";"41,74";
"2006";"16/03/2013 (Sábado)";"Saída para Oficina";"0003";"0,00";"392,12";
"2006";"18/03/2013 (Segunda-feira)";"Saída para Oficina";"0001";"0,00";"266,81";
"2006";"18/03/2013 (Segunda-feira)";"Saída por Venda Balcão";"0001";"15,18";"80,00";
"2006";"19/03/2013 (Terça-feira)";"Saída para Oficina";"0002";"0,00";"107,90";
"2006";"20/03/2013 (Quarta-feira)";"Saída para Oficina";"0001";"0,00";"53,95";
"2006";"20/03/2013 (Quarta-feira)";"Saída por Venda Balcão";"0006";"0,00";"744,13";
"2006";"21/03/2013 (Quinta-feira)";"Saída para Oficina";"0006";"91,82";"2.194,03";
"2006";"21/03/2013 (Quinta-feira)";"Saída por Venda Balcão";"0009";"23,79";"331,39";
"2006";"22/03/2013 (Sexta-feira)";"Saída para Oficina";"0001";"33,05";"265,00";
"2006";"22/03/2013 (Sexta-feira)";"Saída por Venda Balcão";"0006";"47,70";"542,90";
"2006";"23/03/2013 (Sábado)";"Saída para Oficina";"0004";"0,00";"356,50";
"2006";"23/03/2013 (Sábado)";"Saída por Venda Balcão";"0009";"62,64";"504,75";
"2006";"25/03/2013 (Segunda-feira)";"Saída para Oficina";"0003";"0,00";"453,12";
"2006";"25/03/2013 (Segunda-feira)";"Saída por Venda Balcão";"0005";"16,38";"610,58";
"2006";"26/03/2013 (Terça-feira)";"Saída para Oficina";"0006";"78,24";"3.444,57";
"2006";"26/03/2013 (Terça-feira)";"Saída por Venda Balcão";"0004";"15,43";"164,90";
"2006";"27/03/2013 (Quarta-feira)";"Saída para Oficina";"0001";"0,00";"58,98";
"2006";"27/03/2013 (Quarta-feira)";"Saída por Venda Balcão";"0002";"0,00";"59,67";
